runningQuests;En cours
completedQuests;Terminées
failedQuests;Echouées
bleusailles;Bleusailles
bleusaillesDescription;Le capitaine Warlok vous propose de vous entraîner au combat.
bleusaillesMeetWarlok;Retrouvez le capitaine Warlok à l'entrée du Bastion de Haalmikah.
bleusaillesMeetWarlokDescription;Il vous guidera jusqu'au lieu d'entraînement.
bleusaillesGoToGrove;Retrouvez le capitaine Warlok au Bosquet de Haalmikah.
bleusaillesGoToGroveDescription;Le bosquet se situe à l'ouest du bastion.
bleusaillesEquipSword;Equipez l'arme fournie par le capitaine et retournez le voir.
bleusaillesEquipSwordDescription;Accédez à l'onglet Equipement du menu principal pour vous en équiper.
bleusaillesDefeatRat;Vaincre le Rat au Bosquet de Haalmikah.
bleusaillesDefeatRatDescription;Il se balade le long de la berge.
bleusaillesReportToWarlok1;Informez le capitaine que vous avez vaincu le Rat.
bleusaillesReportToWarlok1Description;
bleusaillesDefeatScarymbe;Vaincre la Scarymbe au Bosquet de Haalmikah.
bleusaillesDefeatScarymbeDescription;Elle se balade au nord-est du bosquet.
bleusaillesReportToWarlok2;Informez le capitaine que vous avez vaincu la Scarymbe.
bleusaillesReportToWarlok2Description;
castleAssault;L'assaut du château
castleAssaultDesc;Le château est attaqué par un ennemi inconnu. Il faut intervenir au plus vite.
castleAssaultLearnAboutTheAttack;Ecouter le soldat en détresse.
castleAssaultLearnAboutTheAttackDesc;
castleAssaultListenToMagnus;Ecouter Magnus convaincre la garde de laisser le prince Louga sortir de la milice.
castleAssaultListenToMagnusDesc;
castleAssaultMeetMagnusOutside;Retrouver Magnus à l'extérieur de la milice.
castleAssaultMeetMagnusOutsideDesc;
castleAssaultHeadToCastle;Accourir vers le château au nord-ouest.
castleAssaultHeadToCastleDesc;
castleAssaultClearTheField;Purger les étages du château.
castleAssaultClearTheFieldDesc;
castleAssaultHeadToMainHall;Rejoindre les troupes dans le hall principal du château.
castleAssaultHeadToMainHallDesc;
aThirstySoldier;Un soldat assoifé
aThirstySoldierDescription;Un soldat épuisé et assoifé a besoin de s'hydrater.
aThirstySoldierDrawWater;Puiser de l'eau.
aThirstySoldierDrawWaterDescription;La plupart des zones habitées disposent d'un puits.
aThirstySoldierBringBackWater;Rapporter une ration d'eau au soldat.
aThirstySoldierBringBackWaterDescription;